order_id,customer_id,order_date,order_value,discount_applied,payment_method
1,1,2024-06-21,1509.08,1,UPI
2,1,2024-08-29,381.27,0,COD
3,1,2024-09-26,2249.94,0,Card
4,1,2024-12-20,1242.98,0,Card
5,1,2025-02-07,1942.79,0,Card
6,1,2025-04-09,1598.09,0,Card
7,1,2025-04-22,1938.82,0,Card
8,1,2025-04-18,1596.16,1,Card
9,1,2025-06-13,1079.86,0,UPI
10,2,2024-04-08,834.28,1,Card
11,3,2025-03-12,1508.71,0,UPI
12,4,2025-02-10,1322.7,0,UPI
13,4,2025-03-12,1216.13,1,Card
14,4,2025-05-15,1219.18,1,UPI
15,4,2025-07-03,1351.92,0,COD
16,4,2025-07-25,1440.78,0,UPI
17,4,2025-07-24,2378.21,0,UPI
18,4,2025-10-05,2066.45,0,Wallet
19,4,2026-01-05,1883.25,1,Wallet
20,4,2026-02-13,1446.16,0,UPI
21,4,2026-03-05,561.42,0,UPI
22,4,2026-04-17,1208.19,0,Wallet
23,4,2026-06-26,1456.36,1,Wallet
24,4,2026-06-11,2114.55,1,Card
25,5,2025-01-03,3410.07,1,UPI
26,5,2025-01-26,2638.55,0,Card
27,5,2025-03-06,3154.93,0,Card
28,5,2025-02-22,4524.54,1,COD
29,5,2025-02-20,3073.84,0,Card
30,5,2025-02-26,3784.46,1,Wallet
31,5,2025-04-02,3173.18,0,Wallet
32,5,2025-03-13,3672.13,0,COD
33,5,2025-04-12,2479.74,1,Card
34,5,2025-04-24,3183.86,0,Card
35,5,2025-05-04,2663.57,1,UPI
36,5,2025-05-20,3542.59,0,Card
37,5,2025-06-17,4158.59,1,Card
38,5,2025-06-15,3744.59,0,Card
39,5,2025-06-21,5092.44,0,Wallet
40,5,2025-07-04,3283.4,1,COD
41,5,2025-07-03,3252.26,0,UPI
42,5,2025-06-12,4322.94,1,COD
43,5,2025-07-11,2664.79,0,Wallet
44,5,2025-08-10,2819.69,0,UPI
45,5,2025-08-19,4426.27,1,Card
46,5,2025-10-16,2046.58,0,UPI
47,5,2025-11-09,4596.29,1,UPI
48,5,2025-11-22,3438.03,0,Wallet
49,5,2025-11-25,2938.87,0,Wallet
50,5,2025-12-31,3058.01,1,COD
51,5,2025-12-13,3131.07,1,Card
52,5,2025-12-16,3742.8,0,UPI
53,5,2026-01-01,2485.21,0,UPI
54,5,2026-01-09,1613.36,0,UPI
55,5,2026-01-13,2420.52,0,Card
56,5,2026-01-26,2121.91,0,Card
57,5,2026-01-24,4661.55,0,Card
58,5,2026-03-26,3049.48,0,UPI
59,5,2026-04-06,1497.83,0,COD
60,5,2026-05-16,3680.27,0,COD
61,5,2026-05-15,3253.87,0,UPI
62,5,2026-06-06,3044.7,0,UPI
63,7,2024-06-18,2864.72,0,Card
64,7,2024-08-26,1891.45,0,UPI
65,7,2024-08-30,2101.68,0,Card
66,7,2024-08-16,1874.23,1,COD
67,7,2024-09-08,1724.13,1,COD
68,7,2024-10-28,1248.43,1,Card
69,7,2024-10-19,2594.81,0,COD
70,7,2024-11-28,2103.82,0,UPI
71,7,2024-12-01,943.24,0,Wallet
72,7,2024-12-30,1619.78,0,Wallet
73,7,2025-01-01,1993.41,0,COD
74,7,2025-04-10,1336.28,0,Card
75,7,2025-05-04,1706.32,0,Card
76,7,2025-05-06,1054.98,0,Card
77,7,2025-06-24,1507.95,0,UPI
78,7,2025-07-10,1094.54,1,Card
79,7,2025-07-23,2188.6,1,Card
80,7,2025-08-15,2517.07,0,Card
81,7,2025-08-25,1476.46,1,UPI
82,7,2025-09-27,1035.17,0,COD
83,7,2025-10-05,2100.62,1,Card
84,7,2025-10-19,1996.9,0,Card
85,7,2025-11-27,1636.07,0,UPI
86,7,2025-11-01,2757.37,0,Card
87,7,2025-12-22,1263.44,1,UPI
88,7,2025-12-20,1556.83,1,COD
89,7,2026-01-14,629.62,0,Card
90,7,2026-02-12,1145.89,0,UPI
91,7,2026-02-15,1232.92,1,COD
92,7,2026-03-24,1991.07,1,Card
93,7,2026-04-16,1665.21,0,Card
94,7,2026-04-03,1428.98,0,UPI
95,7,2026-05-19,1617.2,0,Wallet
96,7,2026-05-15,1278.88,0,COD
97,7,2026-06-19,1589.99,0,UPI
98,7,2026-06-04,865.19,0,UPI
99,8,2026-05-12,2802.71,0,UPI
100,8,2026-05-08,4036.86,0,UPI
101,8,2026-05-20,2981.54,0,Card
102,8,2026-06-01,3310.46,0,Card
103,8,2026-06-09,1055.51,1,Card
104,8,2026-06-26,2208.81,0,Card
105,9,2024-05-30,1117.82,1,UPI
106,9,2024-06-16,1677.03,0,Card
107,9,2024-11-08,1052.19,0,UPI
108,9,2025-02-22,1554.93,0,UPI
109,12,2024-05-04,796.09,0,Card
110,12,2024-04-29,570.35,0,Wallet
111,12,2024-06-27,343.22,1,UPI
112,12,2024-07-16,1045.89,0,Card
113,12,2024-08-27,932.96,1,UPI
114,12,2025-04-25,1325.98,1,Card
115,12,2025-06-29,1352.86,1,COD
116,12,2025-07-12,200.0,1,COD
117,12,2025-08-05,1432.96,0,Card
118,12,2025-09-01,786.94,0,UPI
119,13,2024-07-28,874.48,1,UPI
120,13,2024-08-25,1123.76,0,UPI
121,13,2024-09-06,949.47,1,Card
122,15,2025-01-23,1433.66,0,UPI
123,16,2026-03-16,1084.96,0,Card
124,19,2024-11-07,2822.88,0,Card
125,19,2024-11-26,1136.88,0,Card
126,19,2024-12-24,1469.11,1,UPI
127,19,2024-12-25,2017.39,0,Card
128,19,2025-01-03,1683.64,0,Card
129,19,2025-01-27,2529.91,0,COD
130,19,2025-02-27,1245.28,0,Wallet
131,19,2025-02-27,1748.02,0,UPI
132,19,2025-03-04,2015.85,0,Card
133,19,2025-03-25,1054.26,1,UPI
134,19,2025-03-30,1436.87,0,Wallet
135,19,2025-04-25,1741.3,1,Card
136,19,2025-04-13,1889.08,0,Wallet
137,19,2025-05-26,1892.18,0,UPI
138,19,2025-06-20,1119.34,1,Card
139,19,2025-12-10,1301.8,1,Card
140,19,2026-01-20,1615.01,0,UPI
141,19,2026-03-26,2917.11,1,COD
142,19,2026-03-03,1025.63,0,Card
143,19,2026-03-12,994.62,0,UPI
144,19,2026-04-11,1280.27,1,Card
145,19,2026-05-03,2453.97,0,UPI
146,19,2026-05-14,2160.44,0,Wallet
147,19,2026-06-14,2423.25,0,UPI
148,20,2026-05-23,3054.55,0,Card
149,20,2026-04-28,2330.63,1,Wallet
150,20,2026-04-29,2469.05,0,UPI
151,20,2026-06-06,3269.63,1,Card
152,20,2026-06-06,4000.34,0,Wallet
153,23,2025-12-10,2292.35,1,Card
154,23,2026-01-12,1395.62,0,Card
155,23,2026-01-31,1734.51,1,Card
156,23,2026-05-24,2205.39,0,UPI
157,23,2026-05-27,1352.05,1,Card
158,24,2025-03-22,200.0,1,Card
159,24,2025-08-18,1048.87,0,UPI
160,24,2025-09-05,1344.85,1,UPI
161,24,2025-10-27,657.84,0,Card
162,24,2026-01-13,882.64,0,UPI
163,25,2024-02-24,1009.33,1,COD
164,25,2024-03-22,2430.86,0,Wallet
165,25,2024-05-12,2099.99,0,COD
166,25,2024-06-14,2350.82,0,Card
167,25,2024-07-26,1868.39,1,Wallet
168,26,2024-12-17,1271.04,0,UPI
169,26,2025-01-29,443.78,0,Card
170,26,2025-04-25,1015.25,1,UPI
171,26,2025-05-28,702.46,0,Wallet
172,26,2025-05-10,952.18,0,Card
173,26,2025-07-14,968.8,0,UPI
174,27,2025-10-25,927.13,0,UPI
175,27,2025-12-03,1279.64,1,COD
176,27,2026-02-25,487.13,0,Card
177,27,2026-02-24,758.0,0,UPI
178,27,2026-02-16,1245.49,1,UPI
179,27,2026-04-06,1114.56,0,Card
180,27,2026-03-18,1717.05,0,UPI
181,28,2025-06-27,2852.14,1,Card
182,28,2025-06-27,2562.85,0,COD
183,28,2025-06-17,3991.67,0,UPI
184,28,2025-06-30,2886.37,0,COD
185,28,2025-07-17,3045.22,0,UPI
186,28,2025-08-08,2354.28,0,Card
187,28,2025-07-30,3640.31,0,UPI
188,28,2025-09-03,3624.68,0,UPI
189,28,2025-08-26,3244.16,0,UPI
190,28,2025-09-25,4168.99,0,Card
191,28,2025-10-04,2567.08,0,Card
192,28,2025-10-03,3979.92,1,UPI
193,28,2025-12-06,2577.07,0,COD
194,28,2025-11-19,4361.16,0,COD
195,28,2025-12-23,2731.07,0,UPI
196,28,2025-12-29,3272.2,0,Card
197,28,2025-12-24,2721.08,1,Card
198,28,2025-12-18,4034.9,0,UPI
199,28,2026-01-11,2933.3,0,Card
200,28,2026-01-10,3281.55,1,UPI
201,28,2026-02-03,2271.01,0,Wallet
202,28,2026-02-22,3834.8,0,UPI
203,28,2026-03-27,2704.77,1,UPI
204,28,2026-03-28,2125.03,0,UPI
205,28,2026-04-04,2986.54,1,UPI
206,28,2026-03-11,1256.02,0,Card
207,28,2026-03-10,2517.38,0,Wallet
208,28,2026-04-13,2318.53,1,Wallet
209,28,2026-04-19,1409.93,0,Card
210,28,2026-04-14,3227.38,0,Wallet
211,28,2026-05-17,2506.8,0,Card
212,28,2026-06-10,2411.99,0,Card
213,29,2025-03-30,1283.19,1,Card
214,30,2024-09-22,1225.95,1,COD
215,30,2024-09-10,2900.11,0,Card
216,30,2024-10-25,2666.57,1,Card
217,30,2024-11-17,4564.7,0,UPI
218,30,2024-11-12,2910.19,0,Card
219,30,2024-11-02,2075.03,0,UPI
220,30,2024-12-17,2563.03,1,Wallet
221,30,2024-12-21,3560.33,1,Card
222,30,2024-12-17,3418.06,0,Card
223,30,2025-01-08,3004.44,0,COD
224,30,2025-01-10,2400.0,1,UPI
225,30,2025-01-14,2875.96,0,UPI
226,30,2025-02-22,4040.39,1,UPI
227,30,2025-03-08,3113.05,0,UPI
228,30,2025-03-07,3036.46,0,UPI
229,30,2025-03-01,3429.49,1,UPI
230,30,2025-03-20,4274.19,0,Wallet
231,30,2025-03-16,5401.5,0,UPI
232,30,2025-03-29,3851.06,0,UPI
233,30,2025-04-12,3866.86,1,UPI
234,30,2025-04-22,2314.82,0,Card
235,30,2025-03-29,3177.82,1,Wallet
236,30,2025-04-13,3683.9,0,Wallet
237,30,2025-05-15,2361.76,0,COD
238,30,2025-07-20,2771.28,0,Wallet
239,30,2025-06-30,3513.15,0,Wallet
240,30,2025-07-05,3845.96,0,Wallet
241,30,2025-07-13,3397.34,0,COD
242,30,2025-07-20,4566.08,1,Card
243,30,2025-08-02,3532.56,0,Card
244,30,2025-09-12,3481.33,0,Card
245,30,2025-09-02,4208.89,0,UPI
246,30,2025-09-20,3782.92,0,Card
247,30,2025-09-01,2773.25,0,UPI
248,30,2025-08-31,4738.95,0,UPI
249,30,2025-09-27,2024.46,0,Wallet
250,30,2025-09-27,3316.43,0,UPI
251,32,2025-06-22,1474.97,0,UPI
252,32,2025-07-01,1395.64,0,UPI
253,33,2024-07-10,972.91,1,UPI
254,33,2024-08-27,949.08,0,Card
255,33,2024-09-14,905.81,1,UPI
256,33,2024-10-15,1074.82,0,Card
257,34,2024-06-10,1052.52,0,Wallet
258,36,2024-12-13,588.23,0,Wallet
259,36,2024-12-06,932.03,1,UPI
260,36,2025-06-17,200.0,0,UPI
261,37,2025-08-07,2157.63,0,UPI
262,37,2025-10-20,1453.0,1,Wallet
263,37,2025-11-25,2182.81,1,UPI
264,38,2025-07-14,1374.7,0,Card
265,38,2025-09-19,2213.79,0,Card
266,38,2025-09-30,727.13,0,UPI
267,38,2025-10-27,1613.42,0,Card
268,38,2025-10-25,1878.83,0,UPI
269,38,2025-11-24,1593.17,0,Card
270,38,2025-11-19,1260.24,1,Card
271,38,2025-12-28,1763.34,1,Card
272,38,2025-12-20,1692.57,0,Wallet
273,38,2026-01-29,2600.08,0,Card
274,38,2026-02-15,1857.73,0,Wallet
275,38,2026-02-15,1731.94,0,Card
276,38,2026-03-08,872.69,0,UPI
277,38,2026-03-12,1776.78,0,Wallet
278,38,2026-03-26,895.54,0,UPI
279,38,2026-05-06,1814.84,0,COD
280,38,2026-05-06,1959.09,0,UPI
281,38,2026-06-23,1911.46,0,Card
282,39,2025-02-25,1845.65,1,UPI
283,39,2025-03-05,1378.74,0,Card
284,39,2025-04-12,1716.49,0,Card
285,39,2025-03-18,2389.52,1,UPI
286,39,2025-05-20,1853.23,0,UPI
287,39,2025-05-19,1545.69,1,UPI
288,39,2025-05-27,2303.48,1,UPI
289,39,2025-06-23,1694.59,1,Card
290,39,2025-07-29,1475.18,0,UPI
291,39,2025-08-10,1929.94,0,Wallet
292,39,2025-08-31,2127.95,0,Wallet
293,39,2025-09-07,200.0,0,Card
294,39,2026-01-10,1043.06,0,UPI
295,39,2026-03-06,1479.8,0,UPI
296,39,2026-02-22,1983.92,0,UPI
297,39,2026-04-07,2698.74,1,COD
298,40,2024-05-02,2200.98,0,COD
299,40,2024-05-01,1041.73,0,Wallet
300,40,2024-06-24,1146.75,1,Card
301,40,2024-06-21,1808.36,1,Wallet
302,40,2024-08-27,1567.96,1,Card
303,40,2024-10-27,1827.6,0,Card
