cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2024-01,967.3321138211383,2650.4180487804883,4439.25756097561,5892.376747967481,7382.1126829268305,8750.085203252032,10066.974959349593,11391.042520325203,12468.962682926829,13656.841707317071,14732.387804878046,15630.171382113818,16561.913495934958,17457.759186991865,18379.95089430894,19213.19178861788,19842.731626016255,20607.852113821133,21503.896016260154,22414.82861788617,23072.509918699176,23896.830325203242,24454.89073170731,25056.359105691048,25669.87235772357,26154.181300812998,26844.407479674785,27655.449593495927,28062.291219512186,28538.881544715437
2024-02,1362.1973,3775.7086,6066.9036,8389.6695,10026.9674,12028.0632,13948.938,15910.2474,17638.4745,19249.5721,20570.7986,21963.7404,22898.5046,24108.5639,25703.3777,26730.7046,27891.2329,29253.179,30245.386000000002,31306.658799999997,32285.594899999996,33007.92249999999,33849.24019999999,34955.7475,35689.11229999999,36756.672099999996,37486.1018,38205.67999999999,38421.55039999999,
2024-03,1058.5544881889764,2720.417637795276,4734.873149606299,6140.938582677165,7492.2973228346455,8890.04157480315,10120.007401574803,11456.313070866141,12432.42905511811,13676.596062992126,14508.362283464567,15342.496692913386,16081.61755905512,16855.894330708663,17510.849212598427,17877.923779527562,18582.089842519686,19219.159842519686,19732.5262992126,20175.77472440945,20722.28062992126,21129.88472440945,21480.949370078743,21957.71165354331,22354.790472440945,22628.805826771655,23041.811889763783,23347.9,,
2024-04,1022.80359375,3213.331640625,4938.198984375,6566.00765625,8283.78859375,9901.11328125,11347.03203125,12940.677656250002,14694.044921875002,15892.833125000001,17090.311875,18080.88328125,19127.14171875,20229.79734375,20972.977109375,21544.358828124998,22080.97984375,22779.566953125,23350.853359375,23961.379453125,24476.017421875,24937.954296875,25497.599062499998,26083.463203124997,26749.246015624998,27325.965937499997,27683.044765624996,,,
2024-05,1239.943237410072,3556.4914388489215,5723.603453237411,7395.514316546763,9003.758345323742,10937.979136690648,12158.586834532374,14273.23273381295,15994.225251798562,17398.789352517986,18687.363956834535,20046.89129496403,21255.176906474822,22468.512877697845,23319.943237410076,24744.64676258993,25619.365107913673,26652.627050359715,27730.697266187057,28849.681079136695,29996.683237410078,30854.24654676259,31664.74352517986,32624.517266187053,33786.07143884893,34593.748417266186,,,,
2024-06,1621.1144094488188,3842.687165354331,6179.10590551181,7862.197637795275,9611.838031496063,11665.33590551181,13298.504173228344,14852.052283464565,16201.477244094487,17532.396062992124,19152.07149606299,20702.96842519685,21949.75086614173,23057.655511811023,24338.968740157477,25382.481259842516,26327.703307086613,27223.019842519687,28353.774173228347,29345.996456692912,30321.65181102362,31394.26496062992,32298.02377952756,33346.125118110234,34338.623622047235,,,,,
2024-07,1153.2220168067229,3595.355714285714,5491.704117647058,7474.723865546218,8924.69512605042,10424.806218487394,11902.962352941177,13118.74218487395,14527.237142857142,15588.120924369747,16762.15613445378,17838.87731092437,18826.29789915966,19982.746302521005,20871.939243697474,21736.807310924363,22424.614201680666,23597.287142857138,24175.56613445378,24760.065798319323,25430.18210084033,26289.493361344532,27194.505546218486,27706.777394957982,,,,,,
2024-08,910.3995384615384,2759.197769230769,4361.925692307692,5999.212769230769,7549.351461538461,9268.284692307692,10436.767153846155,12003.155538461539,13376.698692307693,14411.653,15474.384153846155,16693.944000000003,17580.940307692308,18914.419384615383,20000.503615384616,20885.461384615384,21792.09323076923,22488.81123076923,23217.939307692308,24011.459076923074,24735.075076923076,25362.977846153844,26169.046769230765,,,,,,,
2024-09,1112.4235384615386,3507.103076923077,5561.779615384616,7243.385461538463,8970.416615384616,10333.708846153848,11867.80530769231,13238.608000000002,14495.940615384618,15772.161461538462,16931.955,18243.730461538464,19615.78530769231,20692.370153846154,22266.37253846154,23257.43230769231,24306.244000000002,25321.660692307694,25918.899538461537,26574.627307692306,27436.222076923073,28044.67469230769,,,,,,,,
2024-10,984.4843925233645,2964.355327102804,4861.631401869159,7280.802149532711,8646.436728971963,10405.599532710281,12219.01757009346,14085.983271028039,15388.758411214954,16718.190373831778,18310.604112149533,19983.21635514019,21577.991121495328,23268.60757009346,24341.519345794397,25501.1623364486,26722.736542056075,27523.333457943925,28291.97831775701,29356.857009345797,29981.990841121496,,,,,,,,,
